tydzien;grupa;teryt;Psi;Phi;u;u_rel
0;young;14;1.000000;;;
0;young;24;1.000000;;;
0;young;30;1.000000;;;
0;young;12;1.000000;;;
0;young;02;1.000000;;;
0;young;10;1.000000;;;
0;young;22;1.000000;;;
0;young;06;1.000000;;;
0;young;18;1.000000;;;
0;young;04;1.000000;;;
0;young;32;1.000000;;;
0;young;28;1.000000;;;
0;young;26;1.000000;;;
0;young;20;1.000000;;;
0;young;08;1.000000;;;
0;young;16;1.000000;;;
0;middle_aged;14;1.000000;;;
0;middle_aged;24;1.000000;;;
0;middle_aged;30;1.000000;;;
0;middle_aged;12;1.000000;;;
0;middle_aged;02;1.000000;;;
0;middle_aged;10;1.000000;;;
0;middle_aged;22;1.000000;;;
0;middle_aged;06;1.000000;;;
0;middle_aged;18;1.000000;;;
0;middle_aged;04;1.000000;;;
0;middle_aged;32;1.000000;;;
0;middle_aged;28;1.000000;;;
0;middle_aged;26;1.000000;;;
0;middle_aged;20;1.000000;;;
0;middle_aged;08;1.000000;;;
0;middle_aged;16;1.000000;;;
0;old;14;1.000000;;;
0;old;24;1.000000;;;
0;old;30;1.000000;;;
0;old;12;1.000000;;;
0;old;02;1.000000;;;
0;old;10;1.000000;;;
0;old;22;1.000000;;;
0;old;06;1.000000;;;
0;old;18;1.000000;;;
0;old;04;1.000000;;;
0;old;32;1.000000;;;
0;old;28;1.000000;;;
0;old;26;1.000000;;;
0;old;20;1.000000;;;
0;old;08;1.000000;;;
0;old;16;1.000000;;;
1;young;14;0.997869;;;
1;young;24;0.997869;;;
1;young;30;0.997869;;;
1;young;12;0.997869;;;
1;young;02;0.997869;;;
1;young;10;0.997869;;;
1;young;22;0.997869;;;
1;young;06;0.997869;;;
1;young;18;0.997869;;;
1;young;04;0.997869;;;
1;young;32;0.997869;;;
1;young;28;0.997869;;;
1;young;26;0.997869;;;
1;young;20;0.997869;;;
1;young;08;0.997869;;;
1;young;16;0.997869;;;
1;middle_aged;14;0.999518;;;
1;middle_aged;24;0.999518;;;
1;middle_aged;30;0.999518;;;
1;middle_aged;12;0.999518;;;
1;middle_aged;02;0.999518;;;
1;middle_aged;10;0.999518;;;
1;middle_aged;22;0.999518;;;
1;middle_aged;06;0.999518;;;
1;middle_aged;18;0.999518;;;
1;middle_aged;04;0.999518;;;
1;middle_aged;32;0.999518;;;
1;middle_aged;28;0.999518;;;
1;middle_aged;26;0.999518;;;
1;middle_aged;20;0.999518;;;
1;middle_aged;08;0.999518;;;
1;middle_aged;16;0.999518;;;
1;old;14;1.000000;;;
1;old;24;1.000000;;;
1;old;30;1.000000;;;
1;old;12;1.000000;;;
1;old;02;1.000000;;;
1;old;10;1.000000;;;
1;old;22;1.000000;;;
1;old;06;1.000000;;;
1;old;18;1.000000;;;
1;old;04;1.000000;;;
1;old;32;1.000000;;;
1;old;28;1.000000;;;
1;old;26;1.000000;;;
1;old;20;1.000000;;;
1;old;08;1.000000;;;
1;old;16;1.000000;;;
2;young;14;0.996335;;;
2;young;24;0.996335;;;
2;young;30;0.996335;;;
2;young;12;0.996335;;;
2;young;02;0.996335;;;
2;young;10;0.996335;;;
2;young;22;0.996335;;;
2;young;06;0.996335;;;
2;young;18;0.996335;;;
2;young;04;0.996335;;;
2;young;32;0.996335;;;
2;young;28;0.996335;;;
2;young;26;0.996335;;;
2;young;20;0.996335;;;
2;young;08;0.996335;;;
2;young;16;0.996335;;;
2;middle_aged;14;0.701089;;;
2;middle_aged;24;0.701089;;;
2;middle_aged;30;0.701089;;;
2;middle_aged;12;0.701089;;;
2;middle_aged;02;0.701089;;;
2;middle_aged;10;0.701089;;;
2;middle_aged;22;0.701089;;;
2;middle_aged;06;0.701089;;;
2;middle_aged;18;0.701089;;;
2;middle_aged;04;0.701089;;;
2;middle_aged;32;0.701089;;;
2;middle_aged;28;0.701089;;;
2;middle_aged;26;0.701089;;;
2;middle_aged;20;0.701089;;;
2;middle_aged;08;0.701089;;;
2;middle_aged;16;0.701089;;;
2;old;14;0.851774;;;
2;old;24;0.851774;;;
2;old;30;0.851774;;;
2;old;12;0.851774;;;
2;old;02;0.851774;;;
2;old;10;0.851774;;;
2;old;22;0.851774;;;
2;old;06;0.851774;;;
2;old;18;0.851774;;;
2;old;04;0.851774;;;
2;old;32;0.851774;;;
2;old;28;0.851774;;;
2;old;26;0.851774;;;
2;old;20;0.851774;;;
2;old;08;0.851774;;;
2;old;16;0.851774;;;
3;young;14;0.800848;;;
3;young;24;0.800848;;;
3;young;30;0.800848;;;
3;young;12;0.800848;;;
3;young;02;0.800848;;;
3;young;10;0.800848;;;
3;young;22;0.800848;;;
3;young;06;0.800848;;;
3;young;18;0.800848;;;
3;young;04;0.800848;;;
3;young;32;0.800848;;;
3;young;28;0.800848;;;
3;young;26;0.800848;;;
3;young;20;0.800848;;;
3;young;08;0.800848;;;
3;young;16;0.800848;;;
3;middle_aged;14;0.700000;;;
3;middle_aged;24;0.700000;;;
3;middle_aged;30;0.700000;;;
3;middle_aged;12;0.700000;;;
3;middle_aged;02;0.700000;;;
3;middle_aged;10;0.700000;;;
3;middle_aged;22;0.700000;;;
3;middle_aged;06;0.700000;;;
3;middle_aged;18;0.700000;;;
3;middle_aged;04;0.700000;;;
3;middle_aged;32;0.700000;;;
3;middle_aged;28;0.700000;;;
3;middle_aged;26;0.700000;;;
3;middle_aged;20;0.700000;;;
3;middle_aged;08;0.700000;;;
3;middle_aged;16;0.700000;;;
3;old;14;0.700000;;;
3;old;24;0.700000;;;
3;old;30;0.700000;;;
3;old;12;0.700000;;;
3;old;02;0.700000;;;
3;old;10;0.700000;;;
3;old;22;0.700000;;;
3;old;06;0.700000;;;
3;old;18;0.700000;;;
3;old;04;0.700000;;;
3;old;32;0.700000;;;
3;old;28;0.700000;;;
3;old;26;0.700000;;;
3;old;20;0.700000;;;
3;old;08;0.700000;;;
3;old;16;0.700000;;;
4;young;14;0.700000;;;
4;young;24;0.700000;;;
4;young;30;0.700000;;;
4;young;12;0.700000;;;
4;young;02;0.700000;;;
4;young;10;0.700000;;;
4;young;22;0.700000;;;
4;young;06;0.700000;;;
4;young;18;0.700000;;;
4;young;04;0.700000;;;
4;young;32;0.700000;;;
4;young;28;0.700000;;;
4;young;26;0.700000;;;
4;young;20;0.700000;;;
4;young;08;0.700000;;;
4;young;16;0.700000;;;
4;middle_aged;14;0.700000;;;
4;middle_aged;24;0.700000;;;
4;middle_aged;30;0.700000;;;
4;middle_aged;12;0.700000;;;
4;middle_aged;02;0.700000;;;
4;middle_aged;10;0.700000;;;
4;middle_aged;22;0.700000;;;
4;middle_aged;06;0.700000;;;
4;middle_aged;18;0.700000;;;
4;middle_aged;04;0.700000;;;
4;middle_aged;32;0.700000;;;
4;middle_aged;28;0.700000;;;
4;middle_aged;26;0.700000;;;
4;middle_aged;20;0.700000;;;
4;middle_aged;08;0.700000;;;
4;middle_aged;16;0.700000;;;
4;old;14;0.700000;;;
4;old;24;0.700000;;;
4;old;30;0.700000;;;
4;old;12;0.700000;;;
4;old;02;0.700000;;;
